Country,Disease,Indicator,Year,Gender,Value
Antigua and Barbuda,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,28.29 [23.83-33.64]
Antigua and Barbuda,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,30.98 [26.13-36.78]
Antigua and Barbuda,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,25.8 [21.38-31.11]
Antigua and Barbuda,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,29.9 [25.18-35.55]
Antigua and Barbuda,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,37.16 [31.34-44.12]
Antigua and Barbuda,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,24.12 [19.99-29.08]
Argentina,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,36.95 [27.62-48.96]
Argentina,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,38.85 [29.57-50.58]
Argentina,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,35.13 [25.64-47.83]
Argentina,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,26.58 [19.87-35.22]
Argentina,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,35.78 [27.23-46.59]
Argentina,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,19.86 [14.49-27.03]
Armenia,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,80.51 [64.27-101.6]
Armenia,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,94 [77.08-116.5]
Armenia,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,68.54 [51.84-89.61]
Armenia,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,54.84 [43.78-69.18]
Armenia,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,77.5 [63.56-96.06]
Armenia,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,38.1 [28.82-49.82]
Australia,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,16.83 [11.83-23.68]
Australia,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,17.8 [12.88-23.59]
Australia,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,15.87 [10.61-23.72]
Australia,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,8.39 [5.9-11.81]
Australia,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,10.23 [7.41-13.56]
Australia,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,6.67 [4.46-9.97]
Austria,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,38.74 [28.09-50.54]
Austria,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,39.44 [30.1-49.22]
Austria,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,38.08 [26.32-52.25]
Austria,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,15.32 [11.11-19.99]
Austria,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,19.42 [14.82-24.24]
Austria,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,11.83 [8.18-16.23]
Azerbaijan,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,54.94 [43.26-72.63]
Azerbaijan,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,60.14 [48.15-78.98]
Azerbaijan,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,49.78 [38.04-67.02]
Azerbaijan,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,63.95 [50.36-84.54]
Azerbaijan,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,80 [64.05-105.1]
Azerbaijan,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,51.1 [39.04-68.79]
Bahamas,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,21.59 [18.15-25.59]
Bahamas,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,24.4 [20.87-28.5]
Bahamas,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,18.9 [15.47-23.13]
Bahamas,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,19.92 [16.74-23.6]
Bahamas,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,25.73 [22-30.05]
Bahamas,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,15.21 [12.45-18.61]
Bahrain,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,15.32 [13.74-17]
Bahrain,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,15.72 [14.17-17.41]
Bahrain,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,14.64 [12.98-16.54]
Bahrain,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,40.14 [36.02-44.56]
Bahrain,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,44.63 [40.22-49.42]
Bahrain,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,34.87 [30.9-39.38]
Bangladesh,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,103.4 [94.21-112.2]
Bangladesh,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,111.8 [98.44-123.3]
Bangladesh,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,94.95 [87.36-102]
Bangladesh,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,149 [135.7-161.7]
Bangladesh,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,161.3 [142-177.8]
Bangladesh,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,136.8 [125.8-146.9]
Barbados,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,57.05 [46.09-68.77]
Barbados,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,59.99 [49.68-71.46]
Barbados,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,54.36 [42.57-66.98]
Barbados,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,31.1 [25.13-37.49]
Barbados,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,38.89 [32.21-46.33]
Barbados,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,24.92 [19.51-30.7]
Belarus,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,109.6 [85.55-138.8]
Belarus,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,120.8 [99.24-148.2]
Belarus,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,99.78 [71.64-135.1]
Belarus,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,60.74 [47.42-76.93]
Belarus,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,93.56 [76.86-114.8]
Belarus,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,39.62 [28.44-53.63]
Belgium,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,39.36 [29.8-50.62]
Belgium,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,42.08 [32.53-53.22]
Belgium,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,36.72 [27.08-49.47]
Belgium,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,15.68 [11.87-20.16]
Belgium,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,20.65 [15.96-26.11]
Belgium,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,11.58 [8.54-15.59]
Belize,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,35.15 [29.12-41.68]
Belize,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,42.39 [35.09-50.42]
Belize,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,27.95 [22.93-33.39]
Belize,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,68.59 [56.84-81.34]
Belize,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,82.53 [68.31-98.16]
Belize,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,54.68 [44.86-65.31]
Benin,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,119.1 [107.1-129.5]
Benin,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,115.1 [102.5-126.5]
Benin,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,123 [110.9-133.3]
Benin,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,205 [184.4-223]
Benin,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,219.5 [195.3-241.1]
Benin,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,193.2 [174.1-209.4]
Bhutan,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,87.53 [66.46-106.3]
Bhutan,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,86.55 [65.32-106.7]
Bhutan,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,88.65 [67.29-107.6]
Bhutan,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,124.5 [94.52-151.1]
Bhutan,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,119.9 [90.47-147.7]
Bhutan,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,130.3 [98.94-158.2]
Bolivia (Plurinational State of),Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,55.2 [46.28-65.47]
Bolivia (Plurinational State of),Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,58.6 [48.73-69.45]
Bolivia (Plurinational State of),Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,51.79 [43.04-61.64]
Bolivia (Plurinational State of),Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,63.72 [53.43-75.57]
Bolivia (Plurinational State of),Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,72.35 [60.17-85.75]
Bolivia (Plurinational State of),Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,55.86 [46.41-66.47]
Bosnia and Herzegovina,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,159.3 [116.6-204.2]
Bosnia and Herzegovina,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,167.6 [122-213.2]
Bosnia and Herzegovina,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,151.3 [108.5-197.5]
Bosnia and Herzegovina,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,79.76 [58.36-102.2]
Bosnia and Herzegovina,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,100.8 [73.42-128.3]
Bosnia and Herzegovina,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,62.1 [44.54-81.04]
Botswana,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,52.99 [42.03-64.12]
Botswana,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,53.18 [41.69-64.96]
Botswana,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,52.78 [41.82-63.73]
Botswana,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,101.3 [80.35-122.6]
Botswana,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,120.4 [94.41-147.1]
Botswana,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,88.05 [69.76-106.3]
Brazil,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,31 [24.49-40.81]
Brazil,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,33.77 [26.88-44.16]
Brazil,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,28.33 [21.94-37.91]
Brazil,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,29.87 [23.6-39.31]
Brazil,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,37.16 [29.58-48.6]
Brazil,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,24.08 [18.65-32.22]
Brunei Darussalam,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,8.52 [6.15-11.2]
Brunei Darussalam,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,9.64 [7.05-12.53]
Brunei Darussalam,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,7.32 [5.11-9.79]
Brunei Darussalam,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,13.32 [9.62-17.52]
Brunei Darussalam,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,15.34 [11.21-19.94]
Brunei Darussalam,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,11.38 [7.94-15.22]
Bulgaria,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,140.5 [103.1-230.4]
Bulgaria,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,152.7 [115.5-249]
Bulgaria,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,129 [89.39-218.1]
Bulgaria,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,61.81 [45.33-101.3]
Bulgaria,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,81.97 [62-133.7]
Bulgaria,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,45.11 [31.27-76.27]
Burkina Faso,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,92.71 [83.72-101.1]
Burkina Faso,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,88.91 [79.59-97.3]
Burkina Faso,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,96.48 [87.23-104.7]
Burkina Faso,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,206.2 [186.2-224.8]
Burkina Faso,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,222.8 [199.4-243.8]
Burkina Faso,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,194 [175.4-210.6]
Burundi,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,100.2 [90.84-108.8]
Burundi,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,102.6 [92.2-112.4]
Burundi,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,97.91 [88.76-106]
Burundi,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,179.9 [163-195.2]
Burundi,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,186.8 [167.8-204.5]
Burundi,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,173.1 [156.9-187.3]
Cabo Verde,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,68.57 [55.73-91.06]
Cabo Verde,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,66.57 [54.28-87.91]
Cabo Verde,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,70.55 [56.9-95.61]
Cabo Verde,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,99.48 [80.86-132.1]
Cabo Verde,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,120.4 [98.21-159.1]
Cabo Verde,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,85.16 [68.67-115.4]
Cambodia,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,87.33 [79.53-95]
Cambodia,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,84.09 [75.56-92.46]
Cambodia,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,90.42 [81.8-98.69]
Cambodia,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,149.8 [136.5-163]
Cambodia,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,163.9 [147.3-180.2]
Cambodia,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,139.5 [126.2-152.3]
Cameroon,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,117.6 [102.8-130.6]
Cameroon,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,124.1 [108.3-138.4]
Cameroon,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,111.1 [97.78-122.7]
Cameroon,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,208.1 [182-231.1]
Cameroon,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,228.3 [199.3-254.7]
Cameroon,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,189.7 [167-209.4]
Canada,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,14.7 [9.78-20.72]
Canada,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,15.88 [10.96-21.31]
Canada,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,13.54 [8.65-20]
Canada,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,6.96 [4.63-9.8]
Canada,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,8.69 [5.99-11.66]
Canada,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,5.4 [3.45-7.98]
Central African Republic,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,141.3 [128.5-152.8]
Central African Republic,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,138.4 [124.4-151.2]
Central African Republic,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,144.1 [131.3-155.3]
Central African Republic,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,211.9 [192.7-229.2]
Central African Republic,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,220.6 [198.3-241]
Central African Republic,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,203.5 [185.4-219.3]
Chad,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,180.9 [160.4-197.9]
Chad,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,186.9 [164.9-205.2]
Chad,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,175 [155.8-190.6]
Chad,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,280.1 [248.4-306.3]
Chad,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,300.5 [265.2-330]
Chad,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,261.5 [232.9-284.7]
Chile,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,34.76 [26.22-46.84]
Chile,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,37.41 [28.87-49.66]
Chile,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,32.17 [23.5-44.26]
Chile,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,25.25 [19.05-34.03]
Chile,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,32.8 [25.31-43.54]
Chile,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,19.31 [14.11-26.57]
China,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,139.8 [107-170.5]
China,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,144.5 [110.1-177.3]
China,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,134.9 [103-164.5]
China,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,112.7 [86.27-137.5]
China,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,126.1 [96.14-154.8]
China,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,100.3 [76.55-122.3]
Colombia,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,34.37 [26.94-43.33]
Colombia,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,38.03 [30.34-47.82]
Colombia,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,30.84 [23.72-39.37]
Colombia,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,36.96 [28.97-46.59]
Colombia,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,45.39 [36.22-57.08]
Colombia,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,30.04 [23.11-38.36]
Comoros,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,93.66 [84.21-102.5]
Comoros,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,98.2 [87.73-108.3]
Comoros,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,89.06 [80.28-97.26]
Comoros,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,172.4 [155-188.6]
Comoros,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,192.5 [172-212.3]
Comoros,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,154.4 [139.2-168.6]
Congo,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,72.8 [64.83-80.3]
Congo,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,65.96 [57.77-73.24]
Congo,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,79.64 [71.02-87.63]
Congo,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,130.7 [116.4-144.2]
Congo,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,121.8 [106.7-135.3]
Congo,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,138 [123.1-151.9]
Costa Rica,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,26.9 [21.06-33.74]
Costa Rica,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,30.23 [24.16-37.53]
Costa Rica,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,23.58 [17.98-30.29]
Costa Rica,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,23.25 [18.2-29.16]
Costa Rica,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,28.61 [22.87-35.53]
Costa Rica,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,18.37 [14-23.59]
Côte d’Ivoire,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,143.7 [127.1-159.6]
Côte d’Ivoire,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,156.9 [137.8-175.8]
Côte d’Ivoire,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,130.1 [115.9-143.6]
